covid_statistics.csv

iso_code,continent,location,date,population_density,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million

AZE,Asia,Azerbaijan,1/1/2022,119.309,364,456,8365,7,11.571,59597.06,35.142
AZE,Asia,Azerbaijan,1/2/2022,119.309,368,435.571,8375,10,11.143,59632.588,35.528
AZE,Asia,Azerbaijan,1/3/2022,119.309,273,430.857,8383,8,10.714,59658.944,26.356
AZE,Asia,Azerbaijan,1/4/2022,119.309,413,436.143,8398,15,10.571,59698.817,39.872
AZE,Asia,Azerbaijan,1/5/2022,119.309,553,439.429,8409,11,11,59752.205,53.388
AZE,Asia,Azerbaijan,1/6/2022,119.309,584,450,8422,13,10.857,59808.586,56.381
AZE,Asia,Azerbaijan,1/7/2022,119.309,547,443.143,8431,9,10.429,59861.395,52.809
AZE,Asia,Azerbaijan,1/8/2022,119.309,630,481.143,8437,6,10.286,59922.217,60.822
AZE,Asia,Azerbaijan,1/9/2022,119.309,555,507.857,8445,8,10,59975.799,53.581
AZE,Asia,Azerbaijan,1/10/2022,119.309,329,515.857,8457,12,10.571,60007.561,31.763
AZE,Asia,Azerbaijan,1/11/2022,119.309,673,553,8471,14,10.429,60072.535,64.973
AZE,Asia,Azerbaijan,1/12/2022,119.309,645,566.143,8480,9,10.143,60134.805,62.27
AZE,Asia,Azerbaijan,1/13/2022,119.309,674,579,8490,10,9.714,60199.875,65.07
AZE,Asia,Azerbaijan,1/14/2022,119.309,653,594.143,8497,7,9.429,60262.918,63.043
AZE,Asia,Azerbaijan,1/15/2022,119.309,710,605.571,8510,13,10.429,60331.463,68.546
AZE,Asia,Azerbaijan,1/16/2022,119.309,808,641.714,8521,11,10.857,60409.47,78.007
AZE,Asia,Azerbaijan,1/17/2022,119.309,359,646,8529,8,10.286,60444.129,34.659
AZE,Asia,Azerbaijan,1/18/2022,119.309,930,682.714,8541,12,10,60533.914,89.785
AZE,Asia,Azerbaijan,1/19/2022,119.309,1151,755,8550,9,10,60645.035,111.121
AZE,Asia,Azerbaijan,1/20/2022,119.309,1186,828.143,8564,14,10.571,60759.535,114.5
AZE,Asia,Azerbaijan,1/21/2022,119.309,1068,887.429,8581,17,12,60862.643,103.108
AZE,Asia,Azerbaijan,1/22/2022,119.309,1614,1016.571,8597,16,12.429,61018.463,155.82
AZE,Asia,Azerbaijan,1/23/2022,119.309,1697,1143.571,8610,13,12.714,61182.297,163.833
AZE,Asia,Azerbaijan,1/24/2022,119.309,757,1200.429,8619,9,12.857,61255.38,73.083
AZE,Asia,Azerbaijan,1/25/2022,119.309,2468,1420.143,8632,13,13,61493.648,238.268
AZE,Asia,Azerbaijan,1/26/2022,119.309,3192,1711.714,8650,18,14.286,61801.813,308.165
AZE,Asia,Azerbaijan,1/27/2022,119.309,3361,2022.429,8664,14,14.286,62126.294,324.481
AZE,Asia,Azerbaijan,1/28/2022,119.309,3564,2379,8683,19,14.571,62470.373,344.079
AZE,Asia,Azerbaijan,1/29/2022,119.309,4268,2758.143,8700,17,14.714,62882.419,412.046
AZE,Asia,Azerbaijan,1/30/2022,119.309,4943,3221.857,8720,20,15.714,63359.631,477.212
AZE,Asia,Azerbaijan,1/31/2022,119.309,2186,3426,8734,14,16.429,63570.674,211.043
AZE,Asia,Azerbaijan,2/1/2022,119.309,5223,3819.571,8755,21,17.571,64074.918,504.244
AZE,Asia,Azerbaijan,2/2/2022,119.309,6620,4309.286,8779,24,18.429,64714.033,639.115
AZE,Asia,Azerbaijan,2/3/2022,119.309,6113,4702.429,8797,18,19,65304.2,590.167
AZE,Asia,Azerbaijan,2/4/2022,119.309,7050,5200.429,8823,26,20,65984.828,680.628
AZE,Asia,Azerbaijan,2/5/2022,119.309,7704,5691.286,8846,23,20.857,66728.596,743.767
